Region_ID,Region,Hamburger: (2/1/24 - 2/28/25),Milkshake: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25),,# of  Region,51
1,Alabama,64%,24%,12%,,,
2,Alaska,71%,15%,14%,,,
3,Arizona,64%,23%,13%,,,
4,Arkansas,66%,21%,13%,,,
5,California,66%,19%,15%,,,
6,Colorado,68%,18%,14%,,,
7,Connecticut,63%,22%,15%,,,
8,Delaware,64%,23%,13%,,,
9,District of Columbia,66%,17%,17%,,,
10,Florida,63%,23%,14%,,,
11,Georgia,62%,23%,15%,,,
12,Hawaii,72%,15%,13%,,,
13,Idaho,69%,18%,13%,,,
14,Illinois,61%,24%,15%,,,
15,Indiana,63%,22%,15%,,,
16,Iowa,68%,19%,13%,,,
17,Kansas,68%,19%,13%,,,
18,Kentucky,63%,24%,13%,,,
19,Louisiana,68%,20%,12%,,,
20,Maine,69%,18%,13%,,,
21,Maryland,62%,23%,15%,,,
22,Massachusetts,63%,21%,16%,,,
23,Michigan,67%,20%,13%,,,
24,Minnesota,68%,18%,14%,,,
25,Mississippi,68%,20%,12%,,,
26,Missouri,66%,20%,14%,,,
27,Montana,75%,14%,11%,,,
28,Nebraska,68%,19%,13%,,,
29,Nevada,67%,20%,13%,,,
30,New Hampshire,67%,20%,13%,,,
31,New Jersey,61%,22%,17%,,,
32,New Mexico,68%,17%,15%,,,
33,New York,64%,20%,16%,,,
34,North Carolina,63%,24%,13%,,,
35,North Dakota,70%,18%,12%,,,
36,Ohio,65%,22%,13%,,,
37,Oklahoma,68%,20%,12%,,,
38,Oregon,69%,18%,13%,,,
39,Pennsylvania,63%,22%,15%,,,
40,Rhode Island,64%,23%,13%,,,
41,South Carolina,68%,21%,11%,,,
42,South Dakota,75%,14%,11%,,,
43,Tennessee,66%,21%,13%,,,
44,Texas,67%,20%,13%,,,
45,Utah,66%,21%,13%,,,
46,Vermont,69%,17%,14%,,,
47,Virginia,61%,24%,15%,,,
48,Washington,67%,19%,14%,,,
49,West Virginia,64%,23%,13%,,,
50,Wisconsin,66%,20%,14%,,,
51,Wyoming,70%,17%,13%,,,
